,x001,x002,x003,x004,x005,x006,x007,x008,x009,x010,x011,x012,x013,x014,x015,x016,x017,x018,x019,x020,x021,x022,x023,x024,x025,x026,x027,x028,x029,x030,x031,x032,x033,x034,x035,x036,x037,x038,x039,x040,x041,x042,x043,x044,x045,x046,x047,x048,x049
x022,-0.21,-0.14,-0.42,-0.32,-0.12,-0.18,-0.44,-0.26,-0.18,-0.36,-0.27,-0.27,-0.29,-0.12,-0.28,-0.49,-0.41,-0.19,-0.31,-0.18,-0.46,-0.45,-0.42,-0.14,-0.25,-0.49,-0.25,-0.30,-0.33,-0.31,-0.44,-0.41,-0.18,-0.35,-0.16,-0.25,-0.44,-0.41,-0.12,-0.49,-0.19,-0.10,-0.18,-0.32,-0.26,-0.39,-0.22,-0.46,-0.12
x023,-0.35,-0.42,-0.34,-0.29,-0.46,-0.27,-0.17,-0.37,-0.10,-0.42,-0.34,-0.18,-0.13,-0.22,-0.23,-0.36,-0.20,-0.30,-0.40,-0.13,-0.34,-0.19,-0.12,-0.46,-0.28,-0.48,-0.30,-0.23,-0.25,-0.27,-0.15,-0.32,-0.49,-0.24,-0.21,-0.23,-0.17,-0.42,-0.40,-0.12,-0.30,-0.38,-0.28,-0.41,-0.41,-0.40,-0.28,-0.10,-0.21
x024,-0.30,-0.31,-0.39,-0.49,-0.24,-0.42,-0.34,-0.35,-0.17,-0.38,-0.35,-0.25,-0.35,-0.14,-0.35,-0.45,-0.42,-0.38,-0.17,-0.39,-0.32,-0.49,-0.22,-0.22,-0.14,-0.33,-0.45,-0.43,-0.19,-0.20,-0.36,-0.45,-0.32,-0.23,-0.39,-0.34,-0.15,-0.47,-0.16,-0.41,-0.45,-0.26,-0.24,-0.19,-0.21,-0.29,-0.43,-0.12,-0.44
x025,-0.11,-0.48,-0.16,-0.38,-0.43,-0.11,-0.39,-0.41,-0.15,-0.39,-0.30,-0.27,-0.12,-0.45,-0.27,-0.26,-0.46,-0.33,-0.47,-0.34,-0.43,-0.15,-0.11,-0.19,-0.32,-0.48,-0.27,-0.18,-0.40,-0.27,-0.25,-0.36,-0.41,-0.49,-0.21,-0.31,-0.19,-0.24,-0.49,-0.18,-0.20,-0.39,-0.44,-0.27,-0.32,-0.26,-0.26,-0.28,-0.42
x026,-0.33,-0.44,-0.20,-0.27,-0.41,-0.14,-0.44,-0.44,-0.23,-0.33,-0.10,-0.30,-0.36,-0.12,-0.31,-0.23,-0.32,-0.41,-0.40,-0.16,-0.28,-0.31,-0.16,-0.21,-0.18,-0.31,-0.30,-0.40,-0.13,-0.42,-0.27,-0.16,-0.26,-0.41,-0.38,-0.39,-0.47,-0.43,-0.42,-0.11,-0.39,-0.28,-0.25,-0.49,-0.10,-0.46,-0.21,-0.37,-0.37
x027,-0.35,-0.46,-0.34,-0.47,-0.42,-0.12,-0.24,-0.24,-0.29,-0.34,-0.40,-0.45,-0.15,-0.25,-0.44,-0.12,-0.26,-0.40,-0.16,-0.45,-0.27,-0.40,-0.42,-0.49,-0.39,-0.21,-0.27,-0.42,-0.15,-0.12,-0.47,-0.16,-0.39,-0.24,-0.35,-0.38,-0.11,-0.49,-0.47,-0.21,-0.41,-0.11,-0.44,-0.48,-0.32,-0.10,-0.24,-0.29,-0.32
x028,-0.34,-0.20,-0.14,-0.45,-0.50,-0.45,-0.32,-0.26,-0.27,-0.41,-0.46,-0.16,-0.17,-0.16,-0.11,-0.41,-0.23,-0.31,-0.49,-0.47,-0.49,-0.19,-0.39,-0.47,-0.43,-0.12,-0.41,-0.29,-0.31,-0.41,-0.23,-0.14,-0.21,-0.42,-0.35,-0.50,-0.50,-0.15,-0.45,-0.43,-0.12,-0.10,-0.18,-0.39,-0.29,-0.22,-0.46,-0.47,-0.29
x029,-0.50,-0.24,-0.37,-0.12,-0.45,-0.27,-0.49,-0.49,-0.43,-0.38,-0.35,-0.32,-0.10,-0.27,-0.11,-0.40,-0.12,-0.27,-0.15,-0.11,-0.14,-0.45,-0.37,-0.42,-0.40,-0.26,-0.44,-0.17,-0.25,-0.49,-0.36,-0.43,-0.40,-0.44,-0.18,-0.24,-0.18,-0.14,-0.20,-0.48,-0.33,-0.11,-0.34,-0.42,-0.37,-0.22,-0.45,-0.17,-0.28
x030,-0.23,-0.48,-0.38,-0.28,-0.16,-0.34,-0.37,-0.12,-0.18,-0.44,-0.29,-0.28,-0.41,-0.16,-0.17,-0.47,-0.47,-0.41,-0.19,-0.35,-0.40,-0.12,-0.27,-0.45,-0.36,-0.27,-0.19,-0.41,-0.16,-0.44,-0.32,-0.27,-0.30,-0.15,-0.20,-0.44,-0.43,-0.30,-0.18,-0.21,-0.49,-0.44,-0.25,-0.12,-0.36,-0.32,-0.44,-0.32,-0.25
x031,-0.14,-0.24,-0.46,-0.37,-0.46,-0.14,-0.31,-0.17,-0.45,-0.31,-0.15,-0.35,-0.29,-0.32,-0.25,-0.29,-0.12,-0.39,-0.39,-0.13,-0.13,-0.32,-0.31,-0.12,-0.20,-0.30,-0.18,-0.47,-0.37,-0.30,-0.19,-0.47,-0.48,-0.21,-0.11,-0.35,-0.19,-0.15,-0.20,-0.45,-0.46,-0.21,-0.49,-0.49,-0.41,-0.34,-0.46,-0.35,-0.12
x032,-0.42,-0.46,-0.45,-0.41,-0.11,-0.48,-0.46,-0.40,-0.18,-0.24,-0.41,-0.41,-0.23,-0.40,-0.38,-0.46,-0.35,-0.27,-0.25,-0.21,-0.22,-0.13,-0.36,-0.28,-0.41,-0.26,-0.25,-0.25,-0.38,-0.40,-0.46,-0.41,-0.15,-0.11,-0.38,-0.12,-0.15,-0.13,-0.49,-0.15,-0.48,-0.13,-0.16,-0.40,-0.15,-0.40,-0.34,-0.43,-0.31
x033,-0.22,-0.14,-0.42,-0.28,-0.47,-0.24,-0.15,-0.23,-0.28,-0.29,-0.15,-0.35,-0.20,-0.35,-0.27,-0.37,-0.18,-0.14,-0.21,-0.22,-0.44,-0.15,-0.32,-0.11,-0.37,-0.34,-0.40,-0.29,-0.34,-0.28,-0.21,-0.37,-0.42,-0.36,-0.46,-0.12,-0.24,-0.25,-0.20,-0.41,-0.32,-0.45,-0.49,-0.47,-0.25,-0.11,-0.36,-0.27,-0.40
x034,-0.16,-0.26,-0.34,-0.43,-0.42,-0.19,-0.43,-0.32,-0.21,-0.18,-0.43,-0.44,-0.45,-0.25,-0.42,-0.35,-0.39,-0.35,-0.19,-0.26,-0.42,-0.28,-0.24,-0.33,-0.33,-0.29,-0.35,-0.22,-0.21,-0.43,-0.40,-0.15,-0.30,-0.48,-0.32,-0.20,-0.28,-0.46,-0.11,-0.40,-0.35,-0.18,-0.15,-0.41,-0.30,-0.35,-0.31,-0.22,-0.40
x035,-0.16,-0.11,-0.24,-0.41,-0.22,-0.32,-0.45,-0.39,-0.28,-0.16,-0.47,-0.24,-0.33,-0.49,-0.31,-0.48,-0.32,-0.34,-0.25,-0.37,-0.41,-0.17,-0.49,-0.20,-0.42,-0.13,-0.21,-0.18,-0.35,-0.39,-0.40,-0.40,-0.36,-0.33,-0.45,-0.47,-0.13,-0.31,-0.21,-0.30,-0.25,-0.38,-0.26,-0.21,-0.43,-0.43,-0.11,-0.43,-0.16
x036,-0.29,-0.15,-0.44,-0.50,-0.49,-0.47,-0.30,-0.23,-0.37,-0.36,-0.48,-0.37,-0.41,-0.39,-0.32,-0.28,-0.30,-0.12,-0.13,-0.29,-0.35,-0.31,-0.48,-0.36,-0.40,-0.11,-0.41,-0.11,-0.34,-0.47,-0.34,-0.37,-0.42,-0.45,-0.23,-0.43,-0.11,-0.37,-0.11,-0.45,-0.17,-0.29,-0.29,-0.17,-0.40,-0.23,-0.34,-0.25,-0.28
x037,-0.49,-0.26,-0.26,-0.32,-0.22,-0.38,-0.43,-0.24,-0.11,-0.26,-0.28,-0.37,-0.16,-0.23,-0.32,-0.45,-0.22,-0.33,-0.27,-0.41,-0.45,-0.38,-0.28,-0.46,-0.37,-0.14,-0.49,-0.18,-0.37,-0.12,-0.22,-0.48,-0.49,-0.16,-0.43,-0.28,-0.17,-0.28,-0.17,-0.18,-0.31,-0.34,-0.27,-0.47,-0.13,-0.12,-0.11,-0.35,-0.20
x038,-0.41,-0.15,-0.11,-0.44,-0.37,-0.31,-0.17,-0.22,-0.33,-0.28,-0.45,-0.31,-0.20,-0.43,-0.45,-0.15,-0.49,-0.27,-0.44,-0.20,-0.23,-0.21,-0.23,-0.37,-0.33,-0.31,-0.25,-0.30,-0.41,-0.16,-0.22,-0.14,-0.35,-0.32,-0.25,-0.14,-0.23,-0.34,-0.49,-0.25,-0.48,-0.33,-0.11,-0.41,-0.47,-0.18,-0.12,-0.34,-0.39
x039,-0.30,-0.42,-0.39,-0.25,-0.31,-0.38,-0.21,-0.30,-0.20,-0.31,-0.41,-0.11,-0.31,-0.18,-0.37,-0.44,-0.42,-0.12,-0.45,-0.15,-0.34,-0.13,-0.47,-0.39,-0.48,-0.16,-0.40,-0.16,-0.27,-0.33,-0.29,-0.33,-0.14,-0.16,-0.33,-0.21,-0.11,-0.41,-0.34,-0.45,-0.17,-0.19,-0.34,-0.22,-0.30,-0.25,-0.19,-0.13,-0.14
x040,-0.17,-0.12,-0.15,-0.27,-0.39,-0.25,-0.40,-0.12,-0.22,-0.19,-0.33,-0.40,-0.21,-0.38,-0.22,-0.36,-0.33,-0.45,-0.46,-0.32,-0.26,-0.24,-0.47,-0.11,-0.13,-0.12,-0.42,-0.16,-0.49,-0.25,-0.30,-0.17,-0.49,-0.11,-0.19,-0.34,-0.30,-0.39,-0.43,-0.31,-0.46,-0.31,-0.10,-0.24,-0.17,-0.39,-0.18,-0.22,-0.18
x041,-0.23,-0.49,-0.43,-0.32,-0.29,-0.13,-0.26,-0.35,-0.40,-0.50,-0.34,-0.31,-0.48,-0.16,-0.27,-0.49,-0.43,-0.41,-0.28,-0.42,-0.41,-0.25,-0.41,-0.45,-0.25,-0.34,-0.10,-0.27,-0.15,-0.46,-0.41,-0.36,-0.33,-0.15,-0.33,-0.22,-0.41,-0.36,-0.41,-0.26,-0.36,-0.16,-0.37,-0.40,-0.22,-0.28,-0.20,-0.34,-0.36
x042,-0.26,-0.40,-0.47,-0.31,-0.45,-0.16,-0.12,-0.44,-0.25,-0.41,-0.11,-0.26,-0.25,-0.16,-0.32,-0.18,-0.28,-0.26,-0.31,-0.26,-0.19,-0.12,-0.11,-0.33,-0.14,-0.42,-0.26,-0.39,-0.43,-0.14,-0.15,-0.23,-0.32,-0.35,-0.17,-0.14,-0.44,-0.45,-0.38,-0.45,-0.38,-0.37,-0.21,-0.39,-0.36,-0.21,-0.34,-0.13,-0.11
x043,-0.24,-0.23,-0.11,-0.24,-0.34,-0.31,-0.32,-0.49,-0.47,-0.49,-0.36,-0.23,-0.24,-0.36,-0.12,-0.43,-0.22,-0.49,-0.43,-0.22,-0.42,-0.42,-0.24,-0.40,-0.29,-0.30,-0.47,-0.46,-0.47,-0.40,-0.30,-0.30,-0.20,-0.32,-0.49,-0.31,-0.13,-0.36,-0.30,-0.47,-0.44,-0.14,-0.38,-0.47,-0.41,-0.43,-0.32,-0.15,-0.33
x044,-0.26,-0.25,-0.14,-0.49,-0.37,-0.29,-0.21,-0.29,-0.29,-0.47,-0.43,-0.48,-0.29,-0.46,-0.45,-0.17,-0.47,-0.46,-0.17,-0.33,-0.12,-0.41,-0.37,-0.16,-0.43,-0.37,-0.19,-0.44,-0.23,-0.49,-0.34,-0.44,-0.46,-0.18,-0.15,-0.19,-0.32,-0.47,-0.50,-0.21,-0.38,-0.45,-0.24,-0.21,-0.28,-0.14,-0.20,-0.30,-0.17
x045,-0.47,-0.35,-0.14,-0.16,-0.28,-0.26,-0.26,-0.29,-0.37,-0.41,-0.40,-0.44,-0.10,-0.34,-0.21,-0.20,-0.19,-0.50,-0.28,-0.23,-0.44,-0.24,-0.23,-0.37,-0.22,-0.19,-0.41,-0.26,-0.33,-0.43,-0.20,-0.19,-0.28,-0.41,-0.13,-0.21,-0.43,-0.40,-0.45,-0.26,-0.26,-0.50,-0.49,-0.23,-0.32,-0.23,-0.10,-0.30,-0.31
x046,-0.37,-0.40,-0.47,-0.37,-0.43,-0.33,-0.20,-0.45,-0.45,-0.32,-0.15,-0.27,-0.37,-0.14,-0.49,-0.47,-0.31,-0.27,-0.47,-0.31,-0.33,-0.20,-0.40,-0.29,-0.28,-0.37,-0.20,-0.25,-0.49,-0.22,-0.33,-0.27,-0.29,-0.35,-0.41,-0.15,-0.41,-0.44,-0.36,-0.12,-0.13,-0.36,-0.30,-0.18,-0.11,-0.25,-0.36,-0.11,-0.39
x047,-0.22,-0.29,-0.42,-0.14,-0.43,-0.29,-0.22,-0.10,-0.33,-0.44,-0.17,-0.37,-0.25,-0.39,-0.41,-0.28,-0.25,-0.46,-0.37,-0.38,-0.49,-0.31,-0.17,-0.34,-0.36,-0.45,-0.12,-0.32,-0.16,-0.30,-0.34,-0.32,-0.25,-0.45,-0.37,-0.15,-0.15,-0.40,-0.13,-0.29,-0.36,-0.44,-0.10,-0.46,-0.47,-0.31,-0.23,-0.34,-0.45
x048,-0.33,-0.48,-0.36,-0.26,-0.33,-0.17,-0.15,-0.34,-0.22,-0.39,-0.42,-0.39,-0.27,-0.46,-0.15,-0.21,-0.18,-0.15,-0.37,-0.11,-0.26,-0.44,-0.44,-0.33,-0.49,-0.33,-0.35,-0.48,-0.42,-0.15,-0.42,-0.49,-0.26,-0.24,-0.45,-0.24,-0.21,-0.43,-0.40,-0.24,-0.16,-0.25,-0.47,-0.15,-0.13,-0.48,-0.37,-0.18,-0.39
x049,-0.24,-0.40,-0.16,-0.47,-0.29,-0.38,-0.44,-0.33,-0.49,-0.23,-0.12,-0.37,-0.44,-0.14,-0.49,-0.27,-0.21,-0.15,-0.24,-0.17,-0.31,-0.41,-0.11,-0.32,-0.29,-0.48,-0.11,-0.21,-0.28,-0.22,-0.40,-0.10,-0.33,-0.39,-0.41,-0.19,-0.47,-0.31,-0.21,-0.33,-0.19,-0.13,-0.49,-0.10,-0.38,-0.41,-0.22,-0.34,-0.27
