,x001,x002,x003,x004,x005,x006,x007,x008,x009,x010,x011,x012,x013,x014,x015,x016,x017,x018,x019,x020,x021,x022,x023,x024,x025,x026,x027,x028,x029,x030,x031,x032,x033,x034,x035,x036,x037,x038,x039,x040,x041,x042,x043,x044,x045,x046,x047,x048,x049
x011,-0.41,-0.33,-0.20,-0.45,-0.35,-0.21,-0.49,-0.13,-0.13,-0.27,-0.48,-0.25,-0.13,-0.11,-0.30,-0.15,-0.26,-0.34,-0.27,-0.34,-0.37,-0.47,-0.37,-0.18,-0.31,-0.21,-0.42,-0.45,-0.22,-0.14,-0.27,-0.47,-0.31,-0.23,-0.48,-0.49,-0.16,-0.15,-0.19,-0.21,-0.22,-0.43,-0.11,-0.43,-0.22,-0.31,-0.11,-0.38,-0.12
x012,-0.26,-0.45,-0.25,-0.47,-0.44,-0.24,-0.10,-0.25,-0.49,-0.32,-0.41,-0.16,-0.22,-0.49,-0.31,-0.22,-0.14,-0.14,-0.30,-0.23,-0.35,-0.40,-0.18,-0.29,-0.19,-0.19,-0.43,-0.46,-0.29,-0.17,-0.47,-0.13,-0.28,-0.30,-0.46,-0.21,-0.16,-0.16,-0.29,-0.11,-0.47,-0.16,-0.23,-0.25,-0.21,-0.13,-0.26,-0.12,-0.34
x013,-0.32,-0.37,-0.12,-0.19,-0.28,-0.30,-0.22,-0.47,-0.48,-0.34,-0.12,-0.47,-0.32,-0.31,-0.15,-0.34,-0.15,-0.23,-0.36,-0.12,-0.20,-0.22,-0.12,-0.21,-0.47,-0.47,-0.11,-0.13,-0.19,-0.34,-0.31,-0.27,-0.50,-0.13,-0.46,-0.49,-0.39,-0.43,-0.23,-0.30,-0.46,-0.46,-0.47,-0.19,-0.47,-0.17,-0.47,-0.43,-0.16
x014,-0.43,-0.33,-0.32,-0.44,-0.26,-0.19,-0.39,-0.41,-0.22,-0.15,-0.26,-0.43,-0.31,-0.14,-0.29,-0.23,-0.30,-0.31,-0.28,-0.18,-0.50,-0.26,-0.31,-0.36,-0.47,-0.24,-0.11,-0.31,-0.14,-0.48,-0.14,-0.38,-0.48,-0.18,-0.27,-0.19,-0.33,-0.27,-0.16,-0.25,-0.32,-0.32,-0.25,-0.11,-0.14,-0.48,-0.39,-0.29,-0.22
x015,-0.25,-0.32,-0.44,-0.17,-0.42,-0.12,-0.12,-0.31,-0.33,-0.20,-0.27,-0.17,-0.48,-0.30,-0.11,-0.14,-0.21,-0.27,-0.18,-0.29,-0.29,-0.19,-0.21,-0.21,-0.48,-0.32,-0.22,-0.20,-0.40,-0.18,-0.36,-0.31,-0.17,-0.29,-0.15,-0.30,-0.20,-0.43,-0.40,-0.15,-0.32,-0.19,-0.44,-0.45,-0.35,-0.13,-0.22,-0.32,-0.29
x016,-0.40,-0.48,-0.27,-0.18,-0.15,-0.29,-0.37,-0.36,-0.34,-0.20,-0.43,-0.45,-0.22,-0.29,-0.48,-0.15,-0.18,-0.24,-0.27,-0.24,-0.21,-0.36,-0.11,-0.50,-0.35,-0.10,-0.37,-0.27,-0.26,-0.14,-0.22,-0.24,-0.28,-0.18,-0.19,-0.37,-0.21,-0.42,-0.12,-0.35,-0.26,-0.23,-0.22,-0.32,-0.19,-0.48,-0.26,-0.19,-0.17
x017,-0.13,-0.49,-0.27,-0.46,-0.49,-0.13,-0.47,-0.33,-0.25,-0.34,-0.13,-0.40,-0.49,-0.46,-0.41,-0.47,-0.10,-0.13,-0.21,-0.34,-0.33,-0.40,-0.46,-0.35,-0.12,-0.11,-0.43,-0.41,-0.23,-0.33,-0.25,-0.27,-0.32,-0.37,-0.41,-0.39,-0.18,-0.16,-0.24,-0.16,-0.28,-0.36,-0.50,-0.20,-0.12,-0.18,-0.41,-0.18,-0.44
x018,-0.14,-0.43,-0.31,-0.21,-0.28,-0.22,-0.17,-0.38,-0.19,-0.11,-0.43,-0.49,-0.19,-0.34,-0.27,-0.14,-0.29,-0.48,-0.35,-0.33,-0.24,-0.13,-0.46,-0.42,-0.43,-0.38,-0.46,-0.42,-0.35,-0.36,-0.36,-0.40,-0.43,-0.23,-0.43,-0.27,-0.50,-0.29,-0.32,-0.21,-0.20,-0.36,-0.44,-0.31,-0.33,-0.36,-0.40,-0.31,-0.23
x019,-0.36,-0.43,-0.26,-0.10,-0.31,-0.30,-0.42,-0.24,-0.46,-0.12,-0.46,-0.28,-0.12,-0.33,-0.43,-0.43,-0.11,-0.25,-0.40,-0.40,-0.40,-0.25,-0.47,-0.13,-0.19,-0.44,-0.30,-0.49,-0.44,-0.28,-0.11,-0.15,-0.18,-0.50,-0.22,-0.32,-0.19,-0.31,-0.16,-0.30,-0.39,-0.18,-0.24,-0.48,-0.12,-0.25,-0.20,-0.41,-0.14
x020,-0.41,-0.20,-0.41,-0.26,-0.13,-0.43,-0.13,-0.41,-0.30,-0.27,-0.15,-0.50,-0.31,-0.43,-0.33,-0.18,-0.12,-0.21,-0.41,-0.28,-0.44,-0.49,-0.22,-0.15,-0.23,-0.24,-0.41,-0.22,-0.33,-0.16,-0.16,-0.39,-0.24,-0.21,-0.20,-0.31,-0.40,-0.11,-0.18,-0.17,-0.21,-0.37,-0.36,-0.25,-0.17,-0.18,-0.48,-0.19,-0.34
x021,-0.37,-0.32,-0.12,-0.25,-0.33,-0.32,-0.37,-0.31,-0.44,-0.25,-0.26,-0.19,-0.33,-0.11,-0.28,-0.48,-0.38,-0.39,-0.28,-0.12,-0.36,-0.17,-0.15,-0.31,-0.38,-0.43,-0.14,-0.46,-0.50,-0.40,-0.26,-0.43,-0.12,-0.15,-0.43,-0.11,-0.33,-0.34,-0.37,-0.48,-0.47,-0.13,-0.23,-0.44,-0.20,-0.25,-0.22,-0.30,-0.16
x022,-0.25,-0.44,-0.22,-0.11,-0.49,-0.44,-0.37,-0.48,-0.12,-0.20,-0.25,-0.46,-0.38,-0.45,-0.36,-0.11,-0.13,-0.37,-0.41,-0.49,-0.37,-0.48,-0.11,-0.31,-0.41,-0.30,-0.12,-0.29,-0.50,-0.43,-0.32,-0.48,-0.26,-0.14,-0.44,-0.27,-0.14,-0.45,-0.14,-0.28,-0.28,-0.49,-0.36,-0.10,-0.15,-0.32,-0.34,-0.43,-0.36
x023,-0.22,-0.10,-0.48,-0.27,-0.50,-0.38,-0.36,-0.42,-0.45,-0.30,-0.15,-0.37,-0.30,-0.17,-0.27,-0.10,-0.40,-0.41,-0.35,-0.26,-0.19,-0.31,-0.17,-0.41,-0.24,-0.29,-0.22,-0.47,-0.45,-0.24,-0.50,-0.19,-0.11,-0.46,-0.44,-0.28,-0.32,-0.26,-0.39,-0.24,-0.12,-0.48,-0.44,-0.42,-0.30,-0.32,-0.28,-0.37,-0.11
x024,-0.13,-0.20,-0.33,-0.26,-0.49,-0.37,-0.17,-0.36,-0.34,-0.26,-0.43,-0.31,-0.30,-0.44,-0.33,-0.23,-0.48,-0.27,-0.37,-0.31,-0.49,-0.31,-0.17,-0.24,-0.20,-0.23,-0.18,-0.12,-0.33,-0.37,-0.12,-0.38,-0.33,-0.17,-0.27,-0.40,-0.42,-0.20,-0.30,-0.35,-0.26,-0.26,-0.50,-0.23,-0.19,-0.22,-0.36,-0.20,-0.47
x025,-0.13,-0.26,-0.23,-0.47,-0.42,-0.49,-0.36,-0.19,-0.49,-0.23,-0.23,-0.24,-0.12,-0.43,-0.32,-0.46,-0.40,-0.31,-0.41,-0.47,-0.17,-0.12,-0.29,-0.38,-0.38,-0.38,-0.44,-0.20,-0.47,-0.24,-0.49,-0.40,-0.45,-0.45,-0.32,-0.48,-0.42,-0.35,-0.44,-0.22,-0.29,-0.38,-0.11,-0.47,-0.18,-0.33,-0.28,-0.45,-0.37
x026,-0.48,-0.16,-0.16,-0.46,-0.30,-0.25,-0.49,-0.37,-0.41,-0.47,-0.30,-0.45,-0.23,-0.29,-0.39,-0.45,-0.35,-0.23,-0.20,-0.17,-0.22,-0.47,-0.47,-0.22,-0.13,-0.43,-0.17,-0.39,-0.37,-0.43,-0.42,-0.25,-0.32,-0.19,-0.15,-0.25,-0.25,-0.17,-0.13,-0.41,-0.30,-0.14,-0.48,-0.40,-0.44,-0.17,-0.30,-0.19,-0.20
x027,-0.27,-0.46,-0.34,-0.49,-0.43,-0.34,-0.47,-0.12,-0.46,-0.18,-0.14,-0.30,-0.41,-0.28,-0.13,-0.48,-0.18,-0.20,-0.14,-0.48,-0.44,-0.20,-0.34,-0.39,-0.14,-0.11,-0.49,-0.40,-0.45,-0.11,-0.43,-0.14,-0.29,-0.12,-0.42,-0.43,-0.42,-0.47,-0.12,-0.43,-0.37,-0.28,-0.36,-0.13,-0.45,-0.14,-0.36,-0.46,-0.15
x028,-0.20,-0.29,-0.15,-0.37,-0.30,-0.22,-0.17,-0.11,-0.36,-0.26,-0.42,-0.45,-0.46,-0.12,-0.31,-0.45,-0.29,-0.43,-0.31,-0.13,-0.26,-0.27,-0.20,-0.26,-0.21,-0.35,-0.19,-0.26,-0.23,-0.24,-0.44,-0.28,-0.16,-0.25,-0.32,-0.21,-0.34,-0.16,-0.48,-0.31,-0.29,-0.35,-0.50,-0.38,-0.26,-0.18,-0.44,-0.41,-0.18
x029,-0.15,-0.37,-0.50,-0.36,-0.38,-0.26,-0.21,-0.31,-0.49,-0.25,-0.33,-0.24,-0.26,-0.31,-0.49,-0.42,-0.42,-0.35,-0.39,-0.27,-0.19,-0.35,-0.40,-0.48,-0.16,-0.21,-0.37,-0.40,-0.32,-0.18,-0.46,-0.35,-0.29,-0.15,-0.47,-0.36,-0.11,-0.21,-0.29,-0.35,-0.24,-0.30,-0.23,-0.26,-0.37,-0.41,-0.15,-0.25,-0.43
x030,-0.42,-0.39,-0.17,-0.34,-0.34,-0.41,-0.50,-0.15,-0.41,-0.49,-0.33,-0.15,-0.28,-0.42,-0.30,-0.12,-0.46,-0.43,-0.48,-0.29,-0.16,-0.15,-0.45,-0.45,-0.16,-0.10,-0.28,-0.22,-0.27,-0.22,-0.16,-0.48,-0.36,-0.14,-0.13,-0.22,-0.42,-0.39,-0.30,-0.40,-0.46,-0.16,-0.29,-0.40,-0.31,-0.34,-0.14,-0.45,-0.23
x031,-0.19,-0.32,-0.24,-0.39,-0.13,-0.19,-0.48,-0.46,-0.37,-0.42,-0.49,-0.16,-0.38,-0.41,-0.16,-0.16,-0.12,-0.49,-0.20,-0.30,-0.32,-0.18,-0.15,-0.46,-0.31,-0.12,-0.33,-0.17,-0.32,-0.40,-0.41,-0.21,-0.24,-0.47,-0.46,-0.36,-0.20,-0.10,-0.12,-0.32,-0.42,-0.39,-0.25,-0.27,-0.29,-0.13,-0.36,-0.29,-0.26
x032,-0.40,-0.22,-0.27,-0.45,-0.37,-0.31,-0.28,-0.10,-0.38,-0.38,-0.49,-0.48,-0.30,-0.24,-0.20,-0.19,-0.38,-0.16,-0.46,-0.38,-0.28,-0.11,-0.47,-0.25,-0.36,-0.16,-0.25,-0.47,-0.23,-0.29,-0.18,-0.47,-0.40,-0.46,-0.31,-0.27,-0.24,-0.39,-0.40,-0.30,-0.46,-0.37,-0.45,-0.35,-0.44,-0.44,-0.48,-0.48,-0.39
x033,-0.38,-0.35,-0.16,-0.35,-0.39,-0.35,-0.18,-0.34,-0.15,-0.12,-0.23,-0.16,-0.47,-0.11,-0.43,-0.18,-0.45,-0.10,-0.38,-0.30,-0.47,-0.19,-0.29,-0.13,-0.30,-0.38,-0.25,-0.37,-0.44,-0.34,-0.11,-0.17,-0.11,-0.22,-0.16,-0.24,-0.38,-0.18,-0.42,-0.25,-0.28,-0.21,-0.20,-0.28,-0.45,-0.29,-0.44,-0.17,-0.17
x034,-0.13,-0.49,-0.35,-0.18,-0.48,-0.26,-0.28,-0.38,-0.42,-0.16,-0.30,-0.40,-0.50,-0.23,-0.26,-0.22,-0.15,-0.19,-0.31,-0.32,-0.47,-0.14,-0.39,-0.33,-0.37,-0.28,-0.43,-0.50,-0.39,-0.47,-0.31,-0.44,-0.21,-0.30,-0.13,-0.32,-0.45,-0.34,-0.46,-0.25,-0.39,-0.30,-0.35,-0.35,-0.23,-0.21,-0.25,-0.50,-0.33
x035,-0.11,-0.42,-0.39,-0.24,-0.16,-0.15,-0.49,-0.35,-0.45,-0.15,-0.35,-0.46,-0.20,-0.39,-0.19,-0.31,-0.12,-0.28,-0.25,-0.44,-0.47,-0.41,-0.24,-0.32,-0.38,-0.15,-0.32,-0.27,-0.41,-0.28,-0.35,-0.30,-0.38,-0.20,-0.27,-0.48,-0.12,-0.33,-0.30,-0.28,-0.43,-0.34,-0.17,-0.26,-0.37,-0.46,-0.43,-0.29,-0.28
x036,-0.22,-0.29,-0.49,-0.30,-0.39,-0.42,-0.13,-0.48,-0.43,-0.35,-0.38,-0.30,-0.35,-0.33,-0.25,-0.42,-0.13,-0.11,-0.33,-0.42,-0.22,-0.42,-0.44,-0.36,-0.41,-0.43,-0.42,-0.50,-0.31,-0.28,-0.29,-0.37,-0.48,-0.23,-0.50,-0.41,-0.13,-0.41,-0.40,-0.37,-0.24,-0.25,-0.15,-0.35,-0.11,-0.28,-0.35,-0.14,-0.49
x037,-0.35,-0.49,-0.44,-0.49,-0.39,-0.10,-0.30,-0.27,-0.49,-0.38,-0.35,-0.26,-0.16,-0.24,-0.43,-0.12,-0.49,-0.27,-0.14,-0.37,-0.27,-0.37,-0.45,-0.32,-0.11,-0.41,-0.36,-0.48,-0.16,-0.19,-0.42,-0.41,-0.15,-0.21,-0.40,-0.32,-0.17,-0.19,-0.15,-0.38,-0.11,-0.11,-0.19,-0.47,-0.14,-0.47,-0.37,-0.23,-0.35
x038,-0.26,-0.21,-0.33,-0.32,-0.38,-0.14,-0.44,-0.48,-0.25,-0.25,-0.30,-0.11,-0.50,-0.45,-0.47,-0.29,-0.14,-0.27,-0.12,-0.34,-0.30,-0.12,-0.13,-0.23,-0.30,-0.17,-0.13,-0.44,-0.35,-0.46,-0.24,-0.40,-0.30,-0.16,-0.39,-0.14,-0.40,-0.50,-0.35,-0.44,-0.15,-0.21,-0.11,-0.12,-0.49,-0.24,-0.15,-0.45,-0.41
x039,-0.21,-0.14,-0.30,-0.39,-0.17,-0.25,-0.11,-0.49,-0.12,-0.43,-0.10,-0.16,-0.21,-0.25,-0.38,-0.16,-0.28,-0.14,-0.20,-0.41,-0.32,-0.22,-0.40,-0.47,-0.21,-0.28,-0.33,-0.36,-0.47,-0.41,-0.33,-0.10,-0.19,-0.42,-0.21,-0.47,-0.36,-0.18,-0.23,-0.29,-0.18,-0.21,-0.32,-0.24,-0.43,-0.45,-0.28,-0.30,-0.36
x040,-0.31,-0.23,-0.29,-0.42,-0.42,-0.50,-0.50,-0.44,-0.10,-0.33,-0.34,-0.14,-0.39,-0.33,-0.42,-0.46,-0.31,-0.39,-0.33,-0.20,-0.14,-0.42,-0.20,-0.42,-0.14,-0.17,-0.33,-0.29,-0.50,-0.42,-0.49,-0.11,-0.22,-0.21,-0.33,-0.48,-0.21,-0.24,-0.14,-0.32,-0.43,-0.10,-0.12,-0.41,-0.30,-0.28,-0.28,-0.28,-0.41
x041,-0.15,-0.28,-0.23,-0.17,-0.24,-0.31,-0.36,-0.37,-0.27,-0.41,-0.16,-0.42,-0.45,-0.46,-0.19,-0.30,-0.35,-0.50,-0.33,-0.22,-0.45,-0.26,-0.21,-0.30,-0.26,-0.21,-0.21,-0.45,-0.23,-0.27,-0.11,-0.36,-0.32,-0.47,-0.35,-0.34,-0.18,-0.17,-0.26,-0.26,-0.29,-0.47,-0.33,-0.15,-0.42,-0.41,-0.13,-0.28,-0.23
x042,-0.16,-0.36,-0.24,-0.44,-0.10,-0.32,-0.26,-0.40,-0.32,-0.33,-0.13,-0.30,-0.40,-0.18,-0.36,-0.49,-0.16,-0.13,-0.28,-0.24,-0.34,-0.25,-0.40,-0.39,-0.48,-0.44,-0.34,-0.47,-0.29,-0.33,-0.23,-0.21,-0.18,-0.39,-0.41,-0.19,-0.47,-0.48,-0.46,-0.18,-0.28,-0.28,-0.42,-0.16,-0.19,-0.19,-0.21,-0.17,-0.43
x043,-0.16,-0.42,-0.48,-0.13,-0.50,-0.43,-0.23,-0.21,-0.20,-0.13,-0.15,-0.38,-0.30,-0.38,-0.23,-0.14,-0.27,-0.24,-0.24,-0.30,-0.12,-0.28,-0.50,-0.22,-0.30,-0.36,-0.50,-0.20,-0.43,-0.31,-0.48,-0.21,-0.41,-0.30,-0.29,-0.10,-0.42,-0.14,-0.32,-0.40,-0.24,-0.44,-0.48,-0.49,-0.48,-0.46,-0.47,-0.34,-0.34
x044,-0.41,-0.18,-0.21,-0.16,-0.15,-0.36,-0.47,-0.41,-0.25,-0.36,-0.49,-0.12,-0.19,-0.30,-0.27,-0.32,-0.40,-0.42,-0.45,-0.27,-0.20,-0.42,-0.36,-0.31,-0.46,-0.17,-0.38,-0.37,-0.50,-0.14,-0.34,-0.34,-0.16,-0.27,-0.38,-0.35,-0.29,-0.42,-0.23,-0.41,-0.49,-0.22,-0.46,-0.15,-0.15,-0.41,-0.18,-0.33,-0.45
x045,-0.23,-0.46,-0.22,-0.25,-0.40,-0.38,-0.40,-0.22,-0.45,-0.34,-0.17,-0.23,-0.29,-0.13,-0.45,-0.43,-0.32,-0.20,-0.29,-0.19,-0.33,-0.44,-0.41,-0.15,-0.32,-0.37,-0.21,-0.48,-0.46,-0.15,-0.20,-0.44,-0.12,-0.37,-0.29,-0.37,-0.11,-0.30,-0.38,-0.34,-0.47,-0.45,-0.18,-0.36,-0.33,-0.29,-0.40,-0.36,-0.26
x046,-0.38,-0.44,-0.32,-0.45,-0.45,-0.16,-0.25,-0.22,-0.36,-0.46,-0.45,-0.36,-0.50,-0.29,-0.34,-0.26,-0.38,-0.47,-0.33,-0.13,-0.49,-0.50,-0.43,-0.14,-0.38,-0.48,-0.29,-0.19,-0.47,-0.23,-0.27,-0.43,-0.49,-0.24,-0.30,-0.35,-0.36,-0.18,-0.17,-0.21,-0.37,-0.48,-0.18,-0.25,-0.17,-0.48,-0.49,-0.45,-0.40
x047,-0.30,-0.12,-0.37,-0.15,-0.22,-0.34,-0.50,-0.37,-0.49,-0.23,-0.13,-0.29,-0.19,-0.41,-0.19,-0.23,-0.12,-0.16,-0.16,-0.29,-0.40,-0.21,-0.24,-0.23,-0.35,-0.23,-0.13,-0.22,-0.32,-0.36,-0.26,-0.12,-0.23,-0.37,-0.24,-0.34,-0.38,-0.42,-0.11,-0.41,-0.10,-0.21,-0.49,-0.21,-0.40,-0.18,-0.44,-0.12,-0.29
x048,-0.10,-0.46,-0.41,-0.26,-0.14,-0.50,-0.17,-0.27,-0.43,-0.12,-0.30,-0.17,-0.10,-0.40,-0.33,-0.44,-0.14,-0.23,-0.42,-0.27,-0.40,-0.46,-0.12,-0.27,-0.49,-0.35,-0.22,-0.47,-0.12,-0.30,-0.32,-0.45,-0.48,-0.26,-0.42,-0.33,-0.29,-0.48,-0.31,-0.26,-0.16,-0.41,-0.50,-0.41,-0.34,-0.28,-0.11,-0.42,-0.50
x049,-0.35,-0.46,-0.32,-0.42,-0.24,-0.14,-0.16,-0.35,-0.27,-0.22,-0.12,-0.13,-0.35,-0.26,-0.14,-0.38,-0.14,-0.17,-0.16,-0.12,-0.25,-0.49,-0.13,-0.15,-0.47,-0.15,-0.11,-0.14,-0.43,-0.10,-0.21,-0.20,-0.41,-0.37,-0.26,-0.37,-0.46,-0.28,-0.23,-0.32,-0.47,-0.15,-0.44,-0.29,-0.24,-0.31,-0.22,-0.12,-0.29
